"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear"
"13518762","2017-03-31 22:00:46","2017-03-31 22:09:02","2887","496","258","Logan Blvd & Elston Ave","502","California Ave & Altgeld St","Subscriber","Female","1971"
"13518761","2017-03-31 22:00:28","2017-03-31 22:04:42","1552","254","290","Kedzie Ave & Palmer Ct","503","Drake Ave & Fullerton Ave","Subscriber","Male","1992"
"13518760","2017-03-31 22:00:08","2017-03-31 22:10:03","1252","595","176","Clark St & Elm St","74","Kingsbury St & Erie St","Subscriber","Male","1986"
"13518759","2017-03-31 21:57:02","2017-03-31 22:07:38","2773","636","216","California Ave & Division St","502","California Ave & Altgeld St","Subscriber","Male","1983"
"13518758","2017-03-31 21:55:21","2017-03-31 22:01:20","2802","359","331","Halsted St & Blackhawk St (*)","289","Wells St & Concord Ln","Subscriber","Male","1983"
"13518757","2017-03-31 21:54:26","2017-03-31 21:57:52","4988","206","125","Rush St & Hubbard St","24","Fairbanks Ct & Grand Ave","Subscriber","Male","1988"
"13518756","2017-03-31 21:54:17","2017-03-31 22:10:21","2431","964","35","Streeter Dr & Grand Ave","2","Buckingham Fountain","Customer","",""
"13518755","2017-03-31 21:54:14","2017-03-31 21:58:16","4612","242","420","Ellis Ave & 55th St","426","Ellis Ave & 60th St","Subscriber","Male","1992"
"13518754","2017-03-31 21:53:15","2017-03-31 22:10:21","4082","1026","35","Streeter Dr & Grand Ave","2","Buckingham Fountain","Customer","",""
"13518753","2017-03-31 21:52:44","2017-03-31 22:03:18","5340","634","37","Dearborn St & Adams St","168","Michigan Ave & 14th St","Subscriber","Male","1973"
"13518752","2017-03-31 21:52:00","2017-03-31 21:55:10","4837","190","447","Glenwood Ave & Morse Ave","449","Clark St & Columbia Ave","Subscriber","Male","1987"
"13518751","2017-03-31 21:51:26","2017-03-31 21:54:11","1934","165","148","State St & 33rd St","149","Calumet Ave & 33rd St","Subscriber","Male","1994"
"13518750","2017-03-31 21:48:50","2017-03-31 21:59:10","2164","620","172","Rush St & Cedar St","74","Kingsbury St & Erie St","Subscriber","Male","1981"
